idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,1.049320,0.969218,49.726620,200.000000,-0.024757,1.046846
1,R7,1.000000,1.030838,1.025677,50.141914,200.000015,0.010432,1.033369
2,R8,1.000000,0.958901,0.950977,47.525986,200.000015,0.024742,0.978671
3,L1,1.000000,0.985252,0.959550,47.690262,199.999985,0.034097,1.049248
4,L2,1.000000,0.957386,0.976835,49.367825,200.000046,0.038066,1.024017
5,L3,1.000000,0.975359,1.009808,51.461292,199.999954,-0.022106,0.971292
6,L4,1.000000,1.043662,0.999353,48.003765,200.000000,0.029898,1.045168
7,L5,1.000000,0.944524,1.045296,47.059036,200.000046,0.049769,1.027893
8,Mi1,1.000000,0.964332,0.965067,50.416210,200.000046,0.029011,1.012382
9,Mi4,1.000000,0.946779,0.952868,51.947056,199.999954,-0.038467,0.956104
10,Mi9,1.000000,0.962971,1.034760,53.246544,199.999954,-0.049066,0.990670
11,T1,1.000000,0.922412,1.002621,53.830650,199.999985,0.020329,1.043859
12,T2,1.000000,1.017235,1.016789,49.572948,200.000015,-0.027141,0.994851
13,T2a,1.000000,0.973920,1.013551,54.240341,200.000000,0.019084,1.006358
14,T3,1.000000,1.011014,0.999383,45.659695,199.999954,0.007515,1.014712
15,T4a,1.000000,0.959121,1.042858,48.257912,199.999954,0.023456,0.959373
16,T4b,1.000000,0.967839,0.986706,50.092560,199.999985,-0.002218,1.045572
17,T4c,1.000000,0.949550,0.965929,50.355434,200.000015,0.009411,1.037810
18,T4d,1.000000,0.964624,1.026585,48.746407,200.000031,-0.003692,1.001616
19,T5a,1.000000,1.046470,0.952274,51.743565,200.000015,0.040123,1.040713
20,T5b,1.000000,1.078424,0.960954,49.219582,200.000015,0.008426,1.026454
21,T5c,1.000000,1.045073,1.005325,48.817516,199.999969,-0.046986,1.044166
22,T5d,1.000000,1.046351,1.031317,48.573391,200.000046,-0.009910,0.994504
23,Tm1,1.000000,0.918662,0.952799,51.178532,199.999969,0.033597,0.989378
24,Tm2,1.000000,0.974759,1.013296,54.338295,200.000031,-0.003275,1.035527
25,Tm20,1.000000,0.905901,0.966361,48.047745,199.999969,-0.037613,1.023140
26,Tm21,1.000000,1.001234,0.977126,46.277637,199.999954,-0.027556,1.006640
27,Tm3,1.000000,0.937961,1.008798,47.307934,199.999985,-0.028436,1.013195
28,Tm4,1.000000,0.913578,1.001090,49.759754,200.000046,0.022745,0.961294
29,Tm9,1.000000,0.960455,1.027972,52.270058,200.000000,-0.047646,0.983283
30,C2,1.000000,1.057834,1.008038,51.853569,199.999954,-0.003336,0.981880
31,C3,1.000000,1.057600,1.007666,50.449909,200.000031,0.034625,0.984129
