idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.010582,0.999439,48.131218,204.547928,0.092325,1.000000
1,R7,1.000000,1.007170,1.049726,48.970917,190.589539,-0.382661,1.000000
2,R8,1.000000,1.005897,0.989441,52.101368,190.781372,0.116902,1.000000
3,L1,1.000000,1.002854,1.039403,52.250732,194.539734,-0.362330,1.003422
4,L2,1.000000,1.018002,1.040629,51.641666,192.414459,-0.147410,0.957546
5,L3,1.000000,1.022165,0.985789,48.375538,207.709000,0.318113,1.000000
6,L4,1.000000,1.000325,1.001857,48.517815,194.120270,-0.007978,1.024826
7,L5,1.000000,1.014793,1.020570,49.646255,203.088165,0.468486,0.967481
8,Mi1,1.000000,1.009541,0.987727,49.624428,195.853516,0.413830,1.000000
9,Mi4,1.000000,0.978901,0.980602,51.742756,191.779114,0.312108,1.000000
10,Mi9,1.000000,1.001702,1.002237,52.255638,191.140732,-0.499287,1.000000
11,T1,1.000000,1.021402,0.973032,48.078426,208.825562,0.453644,1.000000
12,T2,1.000000,1.041342,0.967974,48.512569,206.620285,0.290605,1.000000
13,T2a,1.000000,1.010298,1.032683,51.379910,198.659912,-0.028948,1.000000
14,T3,1.000000,1.014544,0.952151,49.773201,196.225540,-0.453130,1.000000
15,T4a,1.000000,0.981118,0.997979,50.784103,190.756073,-0.317721,1.000000
16,T4b,1.000000,1.021352,1.008390,48.413342,209.290298,-0.242935,1.000000
17,T4c,1.000000,0.973146,1.013664,48.305176,194.952286,0.107215,1.000000
18,T4d,1.000000,0.983554,1.032171,52.080296,207.422119,-0.465167,1.000000
19,T5a,1.000000,1.004224,1.037001,51.561073,198.168182,0.494905,1.000000
20,T5b,1.000000,1.036459,1.024988,51.484516,209.619827,-0.103499,1.000000
21,T5c,1.000000,1.046508,1.035530,49.057667,192.764648,0.204173,1.000000
22,T5d,1.000000,0.993382,0.959718,50.327072,205.721619,-0.373512,1.000000
23,Tm1,1.000000,1.010080,0.951938,49.222721,201.353531,0.244822,1.000000
24,Tm2,1.000000,1.045583,1.039137,48.962986,203.740753,-0.393100,1.000000
25,Tm20,1.000000,1.001216,0.995484,49.923611,198.654816,0.380289,1.000000
26,Tm21,1.000000,1.010711,0.969963,49.555546,197.293213,-0.242518,1.000000
27,Tm3,1.000000,0.975541,0.976509,48.910183,191.341095,0.427044,1.000000
28,Tm4,1.000000,1.044116,0.954605,50.156681,194.620026,-0.378032,1.000000
29,Tm9,1.000000,1.026337,1.013067,51.764469,209.619171,-0.186076,1.000000
30,C2,1.000000,1.015478,0.963507,52.455757,204.250916,-0.090818,1.000000
31,C3,1.000000,1.025276,0.952588,48.442272,193.628159,0.367582,1.000000
32,Lawf1,1.000000,0.950186,1.023469,49.096348,208.613770,-0.228037,1.000000
33,Lawf2,1.000000,1.037973,0.995884,49.031338,208.635635,0.390433,1.000000
