,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,0.999546,,,1.011522,0.996902,0.957282,1.012587,,,,,1.005423,,,,,,,,,,,,,,,,,,,0.955112,1.022852,,
R7,,,0.967950,0.984938,,1.048803,,,1.044129,0.982525,0.950067,,,,,,,,,,,,,,,0.972926,,,,,,0.982951,0.960273,
R8,,1.040677,0.984914,0.982550,0.997997,0.980359,,0.998891,1.026173,1.040344,1.018271,1.018186,,,,,,,,,,,,,,1.011680,1.034828,,,,0.953692,0.983789,1.034310,1.037088
L1,0.986540,1.043263,0.954750,0.966886,1.020982,0.998958,1.035314,0.963275,1.005919,0.994261,,1.012768,0.953406,1.033249,,,,,,,,,,0.999214,1.009863,,,0.994619,,,1.026536,0.968584,,1.046192
L2,1.016760,,0.969104,0.969192,1.038350,0.962017,0.988076,0.977366,0.993654,1.032764,0.984067,1.028174,0.952334,0.969368,,,,,,,,,,1.030096,0.957842,1.009719,,0.970931,0.968587,,1.015002,0.983699,,
L3,,0.987083,0.965014,1.003709,1.002606,,,,1.035935,1.021354,1.007743,1.033713,,,,,,,,,,,,0.998371,0.968854,0.952681,1.032632,,1.029325,0.997304,1.029005,1.011320,1.027389,
L4,1.004642,,,1.019931,1.021616,1.016002,1.036008,0.985848,1.000032,,0.974109,,1.002623,,,,,,,,,,,0.995362,1.015772,,,,0.980589,1.001662,,0.992836,0.992578,0.990967
L5,,,,0.997801,1.013384,,,1.013566,0.986129,1.010395,1.015680,1.034784,0.981466,1.004738,,,,,,,,,,1.036956,0.978598,1.036385,1.006337,1.015171,0.999629,,0.994353,1.014450,1.014935,0.991965
Mi1,,0.957165,0.980076,1.002016,1.025807,,,0.972420,1.048981,1.016830,0.990774,1.006154,0.971033,1.040001,1.038915,0.993628,1.029124,0.981756,1.037948,,,,,0.981040,1.017426,1.021985,1.006712,0.963613,1.025405,,1.007732,1.021550,1.009149,0.954612
Mi4,,,,,0.994150,0.968751,,0.956781,1.025894,0.999640,1.019900,0.987182,,1.015092,,1.038109,0.988715,0.979562,0.987939,,,,,1.049685,0.983678,1.049270,,0.993047,1.032370,1.018841,0.950941,0.999090,0.986814,1.026507
Mi9,,,,,,1.044288,0.951353,,1.043519,0.970807,,,0.968660,0.981053,1.035199,1.000332,0.962343,1.042486,1.039268,,,,,1.035784,1.009192,0.952277,0.993524,0.997512,0.993757,0.978363,0.959397,,1.035627,1.040506
T1,1.026310,1.034517,1.018241,,0.963763,1.009410,,1.015091,,,0.993615,,,,,,,,,,,,,1.007099,1.046929,1.001026,,,0.982622,,,,,
T2,,,,,,,,0.950460,1.025954,,0.961973,,1.035715,0.983147,1.001781,,,,,,,,,0.973408,1.021807,,1.029302,0.975134,0.958248,,,,,0.960124
T2a,,,,,,,,,1.002965,,,,1.002249,1.005676,1.041238,,,,,,,,,0.960964,,1.029129,1.041425,0.991318,1.037818,,0.993984,,,1.043153
