cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.025847,50.000000,1.835119,1.776829,-7.587175,-100.000000,-100.000000,1.010703,352.320007,20.347923,206.339890,0.000000,11.096716,11.131343,16.156273,5.024930,112.303551,112.338852,117.416443,5.077591,112.303551,112.304131,112.514359,0.210228
1,R7,0.995050,50.000000,1.835119,5.426633,-17.849970,-100.000000,-100.000000,1.025997,349.303345,10.000000,193.214462,0.000000,-44.950329,-45.240795,-40.298470,4.942326,56.480801,56.182781,61.253593,5.070812,56.480801,56.475590,56.719219,0.243629
2,R8,0.961918,50.000000,1.835119,5.021462,-24.482708,-100.000000,-100.000000,0.973246,351.104584,25.343004,203.002640,0.000000,-9.183060,-9.117150,-4.771120,4.346030,88.387215,88.451355,92.681114,4.229759,88.387215,88.388245,88.562759,0.174515
3,L1,2.000000,19.857794,1.835119,2.467658,-29.641527,-100.000000,-100.000000,0.282241,349.346161,10.000000,228.410950,1.000000,-29.641527,-29.712622,-42.424397,-12.711775,19.858027,19.837959,16.250177,-3.587782,19.858027,19.857790,19.743774,-0.114016
4,L2,2.000000,0.189885,1.835119,1.440573,-32.039883,-100.000000,-100.000000,0.156718,349.616974,10.000000,231.423615,0.306796,-282.828003,-284.309113,-295.696106,-11.386993,0.189938,0.187031,0.166955,-0.020077,0.189938,0.189885,0.189063,-0.000823
5,L3,2.000000,9.367882,1.835119,0.100000,-3.310017,-100.000000,-100.000000,0.153992,347.083923,10.831121,194.926773,0.000000,-39.165096,-39.238850,-40.545219,-1.306370,9.368087,9.356730,9.155560,-0.201171,9.368087,9.367882,9.361301,-0.006580
6,L4,1.734663,9.689591,1.835119,0.100000,-3.104084,-100.000000,-100.000000,0.100000,350.808289,10.000000,224.144775,1.000000,-3.104084,-3.104909,-3.138106,-0.033197,9.689591,9.689508,9.686190,-0.003319,9.689591,9.689590,9.689520,-0.000070
7,L5,2.000000,4.105442,1.835119,1.007086,-24.632029,-100.000000,-100.000000,0.153839,349.177246,10.000000,201.658524,0.291306,-73.320389,-73.429672,-66.371017,7.058655,4.105760,4.089302,5.173438,1.084136,4.105760,4.105441,4.129692,0.024251
8,Mi1,2.000000,2.433625,1.835119,0.497561,-18.562939,-100.000000,-100.000000,0.225137,350.787872,10.000000,197.708511,0.000000,-90.260818,-90.502831,-84.248444,6.254387,2.434337,2.395329,3.585592,1.190262,2.434337,2.433625,2.456132,0.022507
9,Tm3,2.000000,4.515028,1.835119,2.494855,0.296898,-100.000000,-100.000000,0.100000,350.637909,10.000000,194.660294,0.000000,-54.846180,-55.040413,-49.284977,5.755436,4.515382,4.495960,5.071502,0.575542,4.515382,4.515027,4.526888,0.011861
10,Mi4,2.000000,8.700222,1.835119,1.585243,-9.287709,-100.000000,-100.000000,0.158999,352.974701,10.000000,196.798126,0.000000,-45.780022,-46.074619,-46.685337,-0.610718,8.700963,8.658364,8.564609,-0.093756,8.700963,8.700221,8.694087,-0.006134
11,Mi9,2.000000,10.274076,1.835119,1.550622,-38.152267,-100.000000,-100.000000,0.166486,351.867920,18.244265,207.951675,0.000000,-38.289986,-38.218250,-38.209759,0.008492,10.273880,10.285822,10.287237,0.001415,10.273880,10.274076,10.275217,0.001141
12,T4a,0.978675,50.000000,1.835119,4.724255,-11.564198,-100.000000,-100.000000,1.004302,350.779175,10.000000,192.464218,0.000000,-65.517601,-66.669609,-66.098755,0.570854,66.267494,65.870880,66.411003,0.540123,66.267494,66.260765,66.236053,-0.024712
13,T4b,1.021613,50.000000,1.835119,0.508630,-1.394445,-100.000000,-100.000000,1.033789,352.221985,10.000000,201.226227,0.000000,-1.841557,-1.972998,-1.776894,0.196104,101.475128,101.339241,101.541969,0.202728,101.475128,101.472778,101.464806,-0.007973
14,T4c,1.048394,50.000000,1.835119,3.239039,-10.821045,-100.000000,-100.000000,0.982049,348.262421,10.000000,202.315674,0.000000,-58.313728,-59.123665,-59.095112,0.028553,59.150200,58.938484,59.251286,0.312801,59.150200,59.146423,59.134838,-0.011585
