idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.988259,22.004545,10000.000000,-0.463593,1.000000
1,R7,1.000000,5.000000,1.019157,20.004513,10000.000000,0.402246,1.000000
2,R8,1.000000,5.000000,0.998686,20.588009,10000.000000,-0.374967,1.000000
3,L1,1.000000,3.765631,1.026826,22.265222,175.816235,-0.231988,4.321034
4,L2,1.000000,0.500000,1.018219,51.674083,210.474933,-0.818626,0.500000
5,L3,1.000000,0.692377,5.000000,23.366208,10000.000000,-1.354430,1.000000
6,L4,1.000000,1.016329,0.963175,51.859618,202.566367,-0.482423,0.950536
7,L5,1.000000,0.500000,0.979317,49.391892,195.317312,-0.944859,0.500000
8,Mi1,1.000000,0.568453,0.954494,48.717472,9992.509096,-1.094309,1.000000
9,Mi4,1.000000,4.903638,1.031257,79.009872,9998.524916,19.875009,1.000000
10,Mi9,1.000000,0.500000,1.023615,51.499116,9999.998627,-2.040040,1.000000
11,T1,1.000000,5.000000,1.039200,27.182171,10000.000000,0.593652,1.000000
12,T2,1.000000,1.315462,1.005285,47.793071,9999.999449,-3.263166,1.000000
13,T2a,1.000000,0.500000,1.028411,47.672860,9999.999901,-3.116107,1.000000
14,T3,1.000000,2.496302,1.016346,68.663740,9992.446423,18.550375,1.000000
15,T4a,1.000000,0.507443,0.970295,51.566102,9999.999999,-0.538247,1.000000
16,T4b,1.000000,2.494007,1.044397,51.044028,10000.000000,-0.092107,1.000000
17,T4c,1.000000,1.040061,0.955312,48.388966,10000.000000,0.416068,1.000000
18,T4d,1.000000,0.996155,1.012090,51.852534,9990.760329,0.344488,1.000000
19,T5a,1.000000,0.646198,0.984991,50.879832,10000.000000,-1.279458,1.000000
20,T5b,1.000000,1.033289,0.956684,48.106033,10000.000000,-0.338368,1.000000
21,T5c,1.000000,0.982833,0.991156,50.077884,10000.000000,-0.019815,1.000000
22,T5d,1.000000,0.991245,1.016642,48.867336,9995.094499,0.383400,1.000000
23,Tm1,1.000000,5.000000,0.986215,83.527935,9976.819238,12.363959,1.000000
24,Tm2,1.000000,5.000000,0.999001,74.914117,9994.442175,1.655727,1.000000
25,Tm20,1.000000,0.500000,0.961730,51.871877,9999.999985,-0.747507,1.000000
26,Tm21,1.000000,0.822707,1.040880,50.860583,10000.000000,-0.418587,1.000000
27,Tm3,1.000000,2.040462,0.995539,49.256598,9997.831449,-3.848872,1.000000
28,Tm4,1.000000,5.000000,1.042234,55.018186,9982.257859,-4.783008,1.000000
29,Tm9,1.000000,5.000000,1.010770,85.386595,9995.703459,-3.345850,1.000000
30,C2,1.000000,1.883341,1.036353,51.159804,9999.983400,-1.238549,1.000000
31,C3,1.000000,2.860651,1.043046,65.694284,9972.883066,-1.286060,1.000000
32,Lawf1,1.000000,0.500000,1.019592,50.800324,9999.993249,-0.780643,1.000000
33,Lawf2,1.000000,5.000000,0.989639,69.075831,9995.037493,1.307524,1.000000
