,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.961091,,,0.952400,0.953217,1.023676,0.977835,,,,,0.974657,,,,,,,,,,,,,,,,,,,0.991925,0.985500
R7,,,0.991800,0.986942,,1.032783,,,1.016125,0.988290,1.024249,,,,,,,,,,,,,,,0.961678,,,,,,1.003245
R8,,1.009286,1.032031,1.006346,1.047444,0.969179,,1.024295,1.013965,0.972759,1.049429,1.044921,,,,,,,,,,,,,,1.035912,0.966964,,,,1.036433,1.005209
L1,1.035588,0.967870,0.971613,1.047597,0.976236,1.031026,0.976457,1.032311,0.985778,1.046297,,1.026655,0.956666,0.983744,,,,,,,,,,0.989181,1.045895,,,0.965149,,,0.998453,1.026886
L2,0.961444,,0.960384,1.039285,1.012001,0.998546,0.998812,1.044455,0.968046,1.037654,1.037758,1.037834,1.048106,0.979016,,,,,,,,,,0.976219,1.034019,0.979829,,1.029578,1.006881,,0.998429,1.037952
L3,,0.998638,1.027323,1.021328,1.032412,,,,1.033479,0.987169,1.024456,1.005949,,,,,,,,,,,,0.994216,1.049077,0.954251,1.043728,,1.019087,0.951116,0.958797,0.983666
L4,1.031301,,,1.025622,1.037464,0.959229,0.961543,0.976036,1.037338,,0.996069,,1.016986,,,,,,,,,,,0.967807,1.019507,,,,0.956589,0.963920,,0.962252
L5,,,,1.049696,1.004326,,,1.006529,1.014120,1.011158,0.971518,1.033148,1.019424,1.006210,,,,,,,,,,0.981189,0.993369,0.959700,1.036859,0.996330,1.007730,,1.015417,1.042697
Mi1,,0.985936,1.024849,1.004384,1.000110,,,1.026633,1.025657,1.000801,1.009396,0.990812,1.000350,0.999045,0.974196,1.042536,0.968807,0.995581,0.951001,,,,,1.040450,0.956799,1.003978,1.021897,1.042519,1.022070,,1.000046,0.980052
Mi4,,,,,0.975705,0.992433,,1.001732,0.963285,0.954290,1.044199,0.995521,,1.006927,,1.026619,0.964225,1.034765,0.953992,,,,,0.973267,0.962142,0.991506,,1.013381,0.988462,0.963077,1.046809,0.979669
Mi9,,,,,,0.960446,0.968415,,1.006712,0.953043,,,1.030619,1.009799,0.977247,1.020514,0.950408,0.968781,1.043412,,,,,0.998376,1.036653,0.988210,0.956677,1.003171,1.024831,1.010809,0.996761,
T1,1.007473,0.999600,0.957850,,1.045011,1.013092,,1.040578,,,0.981529,,,,,,,,,,,,,0.950732,1.040080,1.002419,,,1.000690,,,
T2,,,,,,,,0.996976,1.030526,,0.964741,,1.004055,0.990573,0.963835,,,,,,,,,1.007845,0.968979,,1.017029,1.011479,1.022334,,,
T2a,,,,,,,,,0.964833,,,,0.988281,0.976614,0.950252,,,,,,,,,1.023199,,1.045761,1.004573,1.043635,0.991527,,1.026787,
T3,,,,,,,,,,,,,1.011986,0.995862,1.018479,,,,0.983449,,,,,0.972845,,,0.962487,1.000167,,,,1.005363
T4a,,,,,,,,,,,1.037659,,,,,1.004796,0.955393,0.992640,0.992604,1.041109,,,,,,,,,,,,0.967420
T4b,,,,,,,,,1.048681,1.036252,0.991349,,,,,0.983798,1.022185,,0.986618,,0.978427,,,,,,,,,,,
T4c,,,,,,,,,,,0.982794,,0.988155,,,,,0.999696,,,,0.982134,1.049517,,,,,,,,,
