raw_type,n_neurons,resolved_type,dominant_nt,param_source,fallback_target,gNa_mS_cm2,gK_mS_cm2,gLeak_mS_cm2,eNa_mV,eK_mV,eLeak_mV,n_compartment_solver_mean,n_swc_nodes_mean
R1-6,3437,R1-6,histamine,type:R1-6,,2.9999998,2.3999996,1.7999998,50.0,-80.0,-78.0,11.725923770730288,123.41024148967122
T2a,866,T2a,acetylcholine,type_fallback:Mi1,Mi1,7.000002,1.1999998,1.1999998,50.0,-80.0,-58.0,21.64203233256351,767.1039260969977
Tm3,858,Tm3,acetylcholine,type:Tm3,,7.9999995,1.4000003,0.99999994,50.0,-80.0,-58.0,17.15850815850816,954.5897435897435
T4c,842,T4c,acetylcholine,type_fallback:T4a,T4a,6.5000005,1.9999999,1.5999998,50.0,-80.0,-60.0,15.577197149643705,602.958432304038
T3,823,T3,acetylcholine,type_fallback:Mi1,Mi1,7.000001,1.1999998,1.1999998,50.0,-80.0,-58.0,23.997569866342648,755.951397326853
Mi1,796,Mi1,acetylcholine,type:Mi1,,7.0000014,1.1999998,1.1999998,50.0,-80.0,-58.0,19.321608040201006,617.9522613065327
L1,793,L1,glutamate,type:L1,,1.9999999,0.8999999,1.1999998,50.0,-80.0,-33.0,18.562421185372006,446.23707440100884
L2,791,L2,acetylcholine,type_fallback:L1,L1,1.9999999,0.9,1.1999998,50.0,-80.0,-33.0,23.20101137800253,491.39064475347664
L5,785,L5,acetylcholine,type:L5,,1.7999998,1.0999999,0.8999999,50.0,-80.0,-34.0,15.928662420382166,726.1668789808917
T4d,777,T4d,acetylcholine,type_fallback:T4a,T4a,6.5000005,1.9999999,1.5999998,50.0,-80.0,-60.0,14.16988416988417,587.1364221364221
Tm1,775,Tm1,acetylcholine,type_fallback:Tm3,Tm3,7.9999995,1.4000003,0.99999994,50.0,-80.0,-58.0,18.010322580645163,910.0012903225806
Mi9,770,Mi9,glutamate,type:Mi9,,3.5000007,1.7999998,1.5999998,50.0,-80.0,-55.0,23.535064935064934,606.0311688311689
C3,768,C3,gaba,type_fallback:L5,L5,1.7999998,1.0999999,0.8999999,50.0,-80.0,-34.0,22.546875,390.421875
Tm2,767,Tm2,acetylcholine,type_fallback:Tm3,Tm3,7.9999995,1.4000003,0.99999994,50.0,-80.0,-58.0,17.478487614080834,875.3911342894394
T5c,766,T5c,acetylcholine,type_fallback:T4a,T4a,6.5000005,1.9999999,1.5999998,50.0,-80.0,-60.0,16.198433420365536,480.8524804177546
Mi4,765,Mi4,gaba,type:Mi4,,3.5000007,2.0,1.5999998,50.0,-80.0,-60.0,23.166013071895424,605.5934640522876
T5b,760,T5b,acetylcholine,type_fallback:T4a,T4a,6.5000005,2.0,1.5999998,50.0,-80.0,-60.0,13.352631578947369,455.0828947368421
Tm9,755,Tm9,acetylcholine,type_fallback:Tm3,Tm3,8.0,1.4000003,1.0,50.0,-80.0,-58.0,8.548344370860928,782.7668874172185
T4b,748,T4b,acetylcholine,type_fallback:T4a,T4a,6.5000005,2.0,1.5999998,50.0,-80.0,-60.0,14.096256684491978,623.8850267379679
Tm20,744,Tm20,acetylcholine,type_fallback:Tm3,Tm3,8.0,1.4000003,1.0,50.0,-80.0,-58.0,16.927419354838708,1071.8924731182797
C2,743,C2,gaba,type_fallback:L5,L5,1.7999998,1.0999999,0.8999999,50.0,-80.0,-34.0,12.013458950201883,395.0955585464334
T5a,743,T5a,acetylcholine,type_fallback:T4a,T4a,6.5000005,2.0,1.5999998,50.0,-80.0,-60.0,14.2557200538358,443.07806191117095
L3,738,L3,acetylcholine,type:L3,,1.4999999,0.7999999,1.0,50.0,-80.0,-35.0,15.680216802168022,575.5718157181572
T1,738,T1,acetylcholine,type_fallback:Mi1,Mi1,7.0000014,1.1999998,1.1999998,50.0,-80.0,-58.0,23.420054200542005,285.31029810298105
T4a,737,T4a,acetylcholine,type:T4a,,6.5000005,2.0,1.5999998,50.0,-80.0,-60.0,15.16146540027137,558.0691994572592
Tm4,734,Tm4,acetylcholine,type_fallback:Tm3,Tm3,8.0,1.4000003,1.0,50.0,-80.0,-58.0,25.741144414168936,983.3188010899182
T5d,727,T5d,acetylcholine,type_fallback:T4a,T4a,6.5000005,2.0,1.5999998,50.0,-80.0,-60.0,14.426409903713893,424.7909215955984
T2,725,T2,acetylcholine,type_fallback:Mi1,Mi1,7.0000014,1.1999998,1.1999998,50.0,-80.0,-58.0,32.7751724137931,736.5420689655173
L4,724,L4,acetylcholine,type:L4,,1.1999998,1.0,1.0999999,50.0,-80.0,-35.0,3.522099447513812,300.69613259668506
R7,659,R7,histamine,type:R7,,2.9999998,2.1999998,1.7999997,50.0,-80.0,-68.0,6.4522003034901365,58.91198786039454
R8,655,R8,histamine,type:R8,,2.9999998,2.1999998,1.7999998,50.0,-80.0,-68.0,5.66412213740458,75.14045801526717
Tm21,623,Tm21,acetylcholine,type_fallback:Tm3,Tm3,8.0,1.4000003,1.0,50.0,-80.0,-58.0,25.35473515248796,975.5248796147672
Dm2,598,Dm2,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,17.036789297658864,459.1488294314381
TmY5a,572,TmY5a,glutamate,nt:glutamate,,3.0034964,1.9993006,1.5993005,50.0,-77.0,-49.986015,38.84265734265734,1156.652097902098
Tm27,559,Tm27,acetylcholine,nt:acetylcholine,,3.5000007,1.8999997,1.4999999,50.0,-77.0,-48.0,25.384615384615383,992.1985688729875
Dm3p,500,Dm3p,glutamate,nt:glutamate,,3.028,2.0012,1.5885998,50.0,-77.0,-49.888,14.864,401.014
Mi15,480,Mi15,acetylcholine,nt:acetylcholine,,3.4395838,1.912083,1.5118749,50.0,-77.0,-48.241665,11.5,536.8541666666666
Dm3q,456,Dm3q,glutamate,nt:glutamate,,3.0394738,1.9975877,1.5813595,50.0,-77.0,-49.842106,15.508771929824562,250.74561403508773
Mi2,427,Mi2,glutamate,nt:glutamate,,2.8489459,2.0608897,1.6606555,50.0,-77.0,-50.604214,20.594847775175644,569.5948477751756
