pre_type,post_type,n_edges,syn_count_mean,gS_mS_cm2_mean,e_syn_mV_mean,v_th_mV_mean,k_minus_mean,delta_mV_mean,pre_baseline_mV_mean,post_baseline_mV_mean,s_inf_baseline_mean,s_inf_baseline_median,tau_s_baseline_ms_mean
R1-6,C2,5,5.4,0.70000017,-72.0,-52.0,0.1,3.0,-48.008385,-44.398693,0.4001099983472879,0.0002048964857551421,5.998899927136547
R1-6,C3,12,5.25,0.7000001,-72.0,-52.0,0.1,3.0,-51.887287,-39.63644,0.40676168325929835,0.0039144597487566395,5.932383079007621
R1-6,L1,3422,42.49211,1.1999998,-72.0,-56.0,0.1,3.0,-60.572464,-35.04245,0.30867634220913914,0.001004254291920417,6.913236474893357
R1-6,L2,3433,52.004368,0.7999999,-72.0,-52.0,0.10000001,3.0,-60.690422,-35.70329,0.2882358361556359,0.0002608167972130299,7.117641532382517
R1-6,L3,3203,24.514517,0.74999994,-72.0,-56.0,0.10000001,3.0,-60.598503,-36.1035,0.3068928682328251,0.0010212754923054023,6.93107121439074
R1-6,L4,9,9.555555,0.5999999,-72.0,-52.0,0.1,3.0,-44.895702,-40.595097,0.5551359538856372,0.9958807424792058,4.4486403948537205
R1-6,L5,3,10.333333,0.7000001,-72.0,-52.0,0.1,3.0,-53.247753,-50.053864,0.3334807985416846,0.00024008390744999824,6.665191915264054
R1-6,Lai,3589,23.755085,0.70000017,-72.0,-52.0,0.1,3.0,-60.359745,-44.431015,0.291584005145557,0.0002729648689681995,7.084159842982222
R1-6,R1-6,190,6.510526,0.70000017,-72.0,-52.0,0.1,3.0,-60.976944,-59.424168,0.27919722834845956,0.00028917203577785754,7.208027609107424
R1-6,R7,2,6.5,0.70000017,-72.0,-52.0,0.1,3.0,-40.718426,-68.01701,0.5001971346852216,0.5001971346852216,4.998028578671354
R1-6,T1,1044,7.498084,0.70000017,-72.0,-52.0,0.1,3.0,-61.701195,-51.662643,0.2611520841777669,0.00023915979638594197,7.388479048125413
