,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,1.031952,,,0.994123,1.036881,0.971436,0.983472,,,,,0.975670,,,,,,,,,,,,,,,,,,,0.958804,1.008941,,
R7,,,0.998837,0.974674,,0.994389,,,1.004961,1.010387,0.977994,,,,,,,,,,,,,,,0.960561,,,,,,0.975191,0.979062,
R8,,0.989077,1.013921,1.035923,0.974483,0.996844,,1.000701,0.976161,1.023139,1.012058,0.967598,,,,,,,,,,,,,,1.011467,0.996026,,,,0.994370,1.011257,1.007800,0.959216
L1,1.043833,0.973045,1.020942,1.032937,1.040550,1.004719,1.037560,0.992012,0.993304,0.962323,,0.972148,0.962981,1.012028,,,,,,,,,,0.987158,1.015212,,,1.016795,,,0.952356,0.994169,,0.956542
L2,1.010018,,0.985586,1.008744,1.022102,1.002226,0.993047,1.018249,1.000598,1.037950,1.003269,0.977002,1.024764,1.011092,,,,,,,,,,0.965631,1.013955,0.977164,,1.047536,0.998054,,1.016226,0.996528,,
L3,,0.972229,0.950042,1.013883,0.957278,,,,1.004700,1.035749,1.009302,1.007776,,,,,,,,,,,,0.991586,0.997415,0.959007,0.979663,,1.030149,0.970151,0.976467,0.986414,0.965379,
L4,1.045939,,,1.013097,0.965170,0.998249,1.039716,1.033976,1.030092,,0.979123,,0.980196,,,,,,,,,,,0.955635,1.013326,,,,1.002883,1.003206,,1.036858,0.988005,0.977744
L5,,,,0.977432,1.027894,,,0.952815,0.979887,1.045744,1.017661,0.979834,1.008284,0.990834,,,,,,,,,,0.956310,0.990069,0.982314,1.013398,0.970450,0.974701,,1.018111,1.024476,0.989028,0.963143
Mi1,,1.029005,0.987718,1.034554,1.008901,,,0.954377,1.009006,0.967909,1.016447,1.004970,0.964797,0.983015,1.023580,0.950621,1.023297,1.037329,0.988328,,,,,1.008475,1.045939,0.965904,0.992082,1.034776,1.048299,,1.021626,0.983666,0.959675,1.036873
Mi4,,,,,0.974270,1.025615,,0.983167,0.982845,1.049473,0.994215,0.962485,,1.048354,,0.989027,1.005825,1.048066,0.998603,,,,,1.023716,0.952736,1.039420,,0.962548,1.032193,0.997292,0.976932,1.030896,0.968369,1.048475
Mi9,,,,,,1.041086,0.972724,,0.977954,1.021757,,,0.963455,0.961021,1.015109,1.031044,1.014974,1.041134,1.021333,,,,,1.020640,0.982114,0.998206,0.971048,1.033108,0.960569,0.957811,1.033213,,1.021463,0.972558
T1,1.035968,1.024171,1.002474,,1.002939,0.989049,,1.030995,,,0.981306,,,,,,,,,,,,,0.954159,1.028227,0.957305,,,0.980756,,,,,
T2,,,,,,,,0.953862,0.977442,,0.972906,,1.037211,1.002604,1.005576,,,,,,,,,0.966663,0.998151,,0.996956,1.042364,0.985700,,,,,1.042277
T2a,,,,,,,,,0.966443,,,,0.983403,1.029319,1.047482,,,,,,,,,0.974580,,0.950460,1.014721,1.045835,0.969493,,1.035452,,,1.004819
