,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.964703,,,0.975286,1.019850,0.986198,1.037332,,,,,0.968728,,,,,,,,,,,,,,,,,,,0.982532,0.987598
R7,,,1.013188,0.985252,,0.975777,,,0.954956,1.016104,1.004703,,,,,,,,,,,,,,,0.962911,,,,,,0.951030
R8,,1.008948,1.007197,1.047064,0.954346,1.018642,,0.963512,1.034840,1.028748,0.964685,1.048239,,,,,,,,,,,,,,1.017945,0.981490,,,,1.013611,0.984564
L1,1.011537,0.971607,1.025381,1.047367,1.031683,0.971465,0.989562,0.981198,0.953708,0.972938,,1.030377,0.972285,1.035440,,,,,,,,,,1.049239,0.978583,,,0.982176,,,0.967934,1.034648
L2,0.975142,,0.995359,1.035803,1.037710,1.043527,1.001954,1.001019,1.016625,0.968834,0.967872,0.973087,0.981424,1.008504,,,,,,,,,,1.018522,0.962698,1.008356,,1.000827,1.031695,,0.994012,1.009423
L3,,0.969533,1.004422,1.026238,1.023036,,,,0.975330,0.975189,1.032086,0.982361,,,,,,,,,,,,1.019384,0.964039,0.970386,1.000075,,1.001530,0.951344,0.992157,1.002887
L4,1.008620,,,1.020497,1.025079,1.029081,0.988917,1.018341,0.976220,,1.009153,,0.989254,,,,,,,,,,,1.044695,0.962031,,,,1.011144,0.975182,,1.018734
L5,,,,1.002321,0.966228,,,1.014782,0.963096,0.984662,1.003101,0.963541,1.036971,0.963764,,,,,,,,,,0.951206,0.972668,0.952456,1.013054,0.988899,0.950638,,1.011489,0.980736
Mi1,,1.014389,1.030920,1.030467,1.049810,,,0.991270,0.992916,1.005163,0.952908,1.002911,0.959749,0.951937,1.005369,1.004269,1.025979,1.048502,1.028055,,,,,0.995677,0.986536,0.954310,0.965016,0.996393,1.006818,,1.005705,0.994369
Mi4,,,,,0.993211,1.046240,,0.970241,0.965442,0.964608,1.000451,0.960974,,1.017738,,1.047122,0.988763,0.978178,0.985859,,,,,0.969066,0.971501,1.021918,,1.024602,1.028211,0.975962,1.035439,1.004088
Mi9,,,,,,1.008620,0.979389,,1.046960,0.996357,,,1.041882,0.973551,0.977858,1.049470,0.997071,0.954729,1.001763,,,,,0.950454,1.035224,0.985392,1.031878,0.975426,1.005159,1.034318,1.029907,
T1,0.985398,1.010051,1.020157,,0.952335,1.009293,,1.013717,,,0.980841,,,,,,,,,,,,,1.046717,1.002966,0.994462,,,0.995130,,,
T2,,,,,,,,1.008648,0.954938,,1.007200,,0.994861,1.034880,1.031294,,,,,,,,,1.044602,0.960517,,1.001021,1.038404,1.049443,,,
T2a,,,,,,,,,1.046504,,,,0.951840,1.046634,1.012938,,,,,,,,,0.991413,,1.027568,1.049503,1.016010,1.010950,,0.962638,
T3,,,,,,,,,,,,,0.994640,1.028228,1.039743,,,,0.971619,,,,,1.003540,,,0.963395,1.019124,,,,0.952962
T4a,,,,,,,,,,,0.989771,,,,,0.977960,0.966809,1.049963,0.998994,1.002383,,,,,,,,,,,,1.024741
