pre_type,post_type,nt_type,gS,e_syn,v_th,k_minus,delta,s
R1-6,L1,Histamine,8.0e-4,-72.0,-60.0,0.10,3.0,
R1-6,L3,Histamine,6.0e-4,-72.0,-60.0,0.10,3.0,
R7,L3,Histamine,2.0e-4,-72.0,-60.0,0.10,3.0,
R8,L1,Histamine,1.5e-4,-72.0,-60.0,0.10,3.0,
L1,L5,GLUT,6.0e-4,-72.0,-45.0,0.08,4.0,
L1,Mi1,GLUT,5.0e-4,-70.0,-45.0,0.08,4.0,
L1,Tm3,GLUT,3.0e-4,-70.0,-45.0,0.10,4.0,
L3,Mi1,ACH,3.0e-4,0.0,-45.0,0.14,3.0,
L3,Mi9,ACH,3.0e-4,0.0,-45.0,0.12,3.0,
L4,Mi9,ACH,2.0e-4,0.0,-45.0,0.12,3.0,
L5,L1,ACH,2.0e-4,0.0,-45.0,0.10,4.0,
L5,L5,ACH,1.0e-4,0.0,-45.0,0.10,4.0,
L5,Mi1,ACH,5.0e-4,0.0,-45.0,0.10,4.0,
L5,Mi4,ACH,3.0e-4,0.0,-45.0,0.10,4.0,
L5,Tm3,ACH,5.0e-4,0.0,-45.0,0.10,4.0, 
Mi9,T4a,GLUT,2.0e-3,-70.0,-40.0,0.03,3.5, 
Tm3,T4a,ACH,3.0e-4,0.0,-44.0,0.30,3.2, 
Mi1,L1,ACH,2.0e-4,0.0,-50.0,0.16,2.5,
Mi1,L5,ACH,2.0e-4,0.0,-50.0,0.16,2.5,
Mi1,Mi4,ACH,2.0e-4,0.0,-48.0,0.20,4.0, 
Mi1,T4a,ACH,4.0e-4,0.0,-48.0,0.18,3.8, 
Mi1,Tm3,ACH,2.0e-4,0.0,-48.0,0.20,4.0, 
Mi4,T4a,GABA,8.0e-3,-72.0,-55.0,0.03,3.2, 
Mi9,T4b,GLUT,2.0e-3,-70.0,-40.0,0.03,3.5, 
Tm3,T4b,ACH,3.0e-4,0.0,-44.0,0.30,3.2, 
Mi1,T4b,ACH,4.0e-4,0.0,-48.0,0.18,3.8, 
Mi4,T4b,GABA,8.0e-3,-72.0,-55.0,0.03,3.2, 
