neuron_type,gNa,gK,gLeak,eLeak,eNa,eK
R1-6,0.0030,0.0024,0.0018,-68.0,50.0,-80.0
R7,0.0030,0.0022,0.0018,-68.0,50.0,-80.0
R8,0.0030,0.0022,0.0018,-68.0,50.0,-80.0
L1,0.0020,0.0009,0.0012,-33.0,50.0,-80.0
L3,0.0015,0.0008,0.0010,-35.0,50.0,-80.0
L4,0.0012,0.0010,0.0011,-35.0,50.0,-80.0
L5,0.0018,0.0011,0.0009,-34.0,50.0,-80.0
Mi9,0.0035,0.0018,0.0016,-55.0,50.0,-80.0
Mi1,0.0070,0.0012,0.0012,-58.0,50.0,-80.0
Tm3,0.0080,0.0014,0.0010,-58.0,50.0,-80.0
Mi4,0.0035,0.0020,0.0016,-60.0,50.0,-80.0
T4a,0.0065,0.0020,0.0016,-60.0,50.0,-80.0
