,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.954968,,,0.988390,0.952955,0.977783,0.973514,,,,,0.951419,,,,,,,,,,,,,,,,,,,1.033343,0.954568
R7,,,0.988820,0.983443,,0.999139,,,0.953887,0.970614,0.977784,,,,,,,,,,,,,,,0.974511,,,,,,1.037006
R8,,1.010250,1.019059,1.007970,0.978896,1.022104,,0.969720,0.988368,0.995130,0.975616,0.978865,,,,,,,,,,,,,,0.960355,1.033685,,,,0.951944,0.998459
L1,0.958573,1.021039,1.005783,1.005229,1.046510,1.044149,0.959988,1.039145,1.006175,1.035152,,0.975275,1.026041,1.011994,,,,,,,,,,0.993930,0.971937,,,1.028815,,,0.956929,0.967142
L2,0.992543,,1.027132,0.957861,0.952330,1.000561,0.992303,0.988019,0.990761,1.005659,0.972358,0.990589,1.049325,0.964923,,,,,,,,,,0.968325,1.034051,1.037525,,1.029715,0.970848,,0.991353,0.978831
L3,,1.012607,1.045139,0.966699,1.031932,,,,0.969048,1.014288,0.992259,1.010807,,,,,,,,,,,,0.986163,1.004242,0.970343,1.042273,,1.029842,0.984251,0.974644,0.973345
L4,0.955396,,,1.026376,1.014661,0.962372,1.009682,1.004075,0.960628,,1.033403,,1.045414,,,,,,,,,,,0.965827,1.004215,,,,0.953272,0.953967,,1.015475
L5,,,,1.047733,1.000486,,,1.023746,0.973837,1.018179,0.974756,1.046259,1.007663,0.986906,,,,,,,,,,0.951538,1.015921,0.950239,0.986233,1.041532,0.998603,,0.977667,1.037255
Mi1,,0.980507,1.044284,1.037432,1.039623,,,1.009947,1.017966,0.964562,0.976065,0.974633,1.045643,0.971183,1.042384,1.047491,1.039363,0.950347,0.965507,,,,,1.029621,1.021156,1.022090,1.027437,0.983823,1.032411,,0.997125,0.963559
Mi4,,,,,1.018112,0.964115,,0.975702,1.043597,0.965437,1.000767,0.983914,,1.046921,,0.979690,0.996453,1.000097,1.036607,,,,,1.018915,0.966622,1.043564,,1.009008,0.960158,0.984737,0.954146,1.002759
Mi9,,,,,,1.000593,1.029983,,1.036356,0.980814,,,0.997432,1.031958,1.004677,0.982461,0.985400,1.031142,1.012935,,,,,0.972393,1.016286,0.981587,1.034397,1.009402,0.953171,0.984328,1.023535,
T1,1.048861,0.998180,0.974842,,0.961616,1.017448,,0.998728,,,0.982092,,,,,,,,,,,,,1.024061,1.026988,1.028035,,,0.959079,,,
T2,,,,,,,,0.966268,0.999649,,1.013004,,0.992479,0.956756,1.026087,,,,,,,,,1.029966,0.977614,,0.959975,1.046477,1.022158,,,
T2a,,,,,,,,,1.049385,,,,1.040981,0.978409,1.039160,,,,,,,,,1.010134,,1.009169,0.989212,1.012127,1.018852,,1.047276,
T3,,,,,,,,,,,,,0.995184,1.034845,1.012842,,,,1.009072,,,,,1.029501,,,0.958911,1.027487,,,,0.953182
T4a,,,,,,,,,,,0.958129,,,,,0.997629,1.032310,0.998725,1.000813,1.034903,,,,,,,,,,,,1.010012
T4b,,,,,,,,,1.000023,0.989687,1.037829,,,,,0.969773,1.021959,,1.039719,,1.025669,,,,,,,,,,,
T4c,,,,,,,,,,,1.004445,,0.968143,,,,,1.004037,,,,0.979872,1.042617,,,,,,,,,
T4d,,,,,,,,,1.031903,,,,,,,,,0.993082,1.025791,,,,1.008215,,,,,,,,,
T5a,,,,,,,,,,,,,0.970205,,,0.961163,,,,0.963543,1.028128,,,,0.970560,,,,,,,
