,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,1.032592,,,1.009518,0.991513,0.964525,1.019826,,,,,0.971033,,,,,,,,,,,,,,,,,,,0.969339,1.043921,,
R7,,,1.004671,1.016970,,1.040349,,,1.019054,1.022156,0.995175,,,,,,,,,,,,,,,0.977224,,,,,,0.956029,0.953879,
R8,,1.006899,1.037409,1.002727,1.031866,1.019022,,1.030261,0.981959,0.978307,0.995648,1.046536,,,,,,,,,,,,,,1.023153,1.033708,,,,0.958201,1.020557,0.988615,0.998722
L1,0.958687,1.017552,0.961221,1.022624,0.950537,1.032269,0.979704,1.003535,0.956636,0.968511,,1.016261,1.032401,0.958807,,,,,,,,,,0.990334,1.040580,,,1.013505,,,1.024217,0.960422,,1.047467
L2,0.975272,,1.013890,0.974183,1.006965,0.960255,1.033980,1.021556,0.997372,0.967209,1.046100,1.023110,1.033955,0.983990,,,,,,,,,,0.987275,1.002818,1.046433,,1.021363,0.968275,,1.028421,1.037960,,
L3,,1.005637,0.991883,0.978959,1.039182,,,,1.022379,0.974818,1.039234,0.991008,,,,,,,,,,,,1.022108,0.981789,0.988322,1.043256,,0.988171,1.032157,1.013758,0.973985,1.048831,
L4,1.043507,,,1.013828,0.989591,0.963845,1.012527,1.011381,1.027792,,0.980437,,1.021238,,,,,,,,,,,0.957317,0.972447,,,,1.044172,1.016885,,0.973922,0.979061,0.996206
L5,,,,0.972150,0.950801,,,1.027152,0.957828,0.951284,1.023395,1.011143,1.038486,1.032604,,,,,,,,,,1.005278,0.974132,0.991876,0.972275,0.976469,1.004058,,1.030707,1.003291,1.026562,1.004161
Mi1,,0.961000,0.958418,0.998764,1.018817,,,1.043845,0.981857,0.951119,0.976115,1.045785,0.963407,1.021013,1.016370,0.967992,0.955297,0.950295,0.979088,,,,,0.995370,0.974355,0.962115,0.950868,0.955201,1.026850,,0.968528,0.954131,1.043376,0.951620
Mi4,,,,,1.046413,1.040412,,1.025506,0.950106,0.964474,1.031094,0.952404,,0.988541,,1.006917,1.024885,1.010753,1.001268,,,,,0.959115,0.972400,0.959646,,1.013895,1.040048,0.978254,0.976803,1.045700,1.017222,1.004889
Mi9,,,,,,1.048410,1.002812,,1.010884,1.031045,,,0.967734,0.994730,0.963495,1.017041,1.008687,0.996821,0.961814,,,,,1.026416,0.951097,0.973565,0.984159,1.017348,0.954844,0.963186,1.006552,,0.983075,0.961903
T1,0.984518,1.019704,0.995377,,1.032454,1.032508,,1.040398,,,1.047277,,,,,,,,,,,,,1.047188,1.046275,0.976381,,,1.049647,,,,,
T2,,,,,,,,1.030041,0.968590,,0.967414,,1.015275,0.993488,1.021850,,,,,,,,,1.007839,0.996883,,1.028432,0.976511,0.980507,,,,,0.966015
T2a,,,,,,,,,0.993689,,,,1.034817,1.021879,1.001656,,,,,,,,,0.956670,,0.955883,0.980524,1.020216,0.961659,,1.022194,,,1.018432
T3,,,,,,,,,,,,,1.000403,1.035517,0.957512,,,,0.964059,,,,,0.984910,,,1.004036,1.025661,,,,1.024225,,0.989681
T4a,,,,,,,,,,,0.963775,,,,,1.013486,0.982868,0.993296,0.986707,1.009023,,,,,,,,,,,,1.049889,,
T4b,,,,,,,,,1.030379,0.996293,1.036768,,,,,1.041633,0.957159,,0.985109,,0.994580,,,,,,,,,,,,,
T4c,,,,,,,,,,,0.982009,,1.027555,,,,,0.965988,,,,0.972498,0.982888,,,,,,,,,,,
T4d,,,,,,,,,1.025668,,,,,,,,,1.049292,1.040313,,,,0.971536,,,,,,,,,,,
T5a,,,,,,,,,,,,,1.024688,,,1.004053,,,,0.967282,1.048031,,,,1.010163,,,,,,,,,
T5b,,,,,,,,,,,,,1.015386,,,,1.049477,,,1.035447,0.959485,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.990123,,,,,1.033998,,,0.997741,1.010716,1.017644,,,,,,,,,,,
T5d,,,,,,,,,,,,,1.038124,,,,,1.043857,0.983046,,,,0.973799,,,,,,,,,,,
Tm1,,,,,1.042248,,,1.032674,0.976049,0.957466,0.993929,0.951858,0.999780,0.966550,0.957867,,,0.986314,,0.998262,1.008816,1.025340,1.040911,0.968436,1.019437,1.028314,0.980416,0.979771,0.973579,1.021347,1.044208,1.013713,,1.021103
Tm2,,,,0.995837,1.045574,,,0.951209,1.036481,0.999519,1.011876,0.974092,0.972388,0.967109,1.046680,0.964626,,0.966108,,0.977040,0.993137,1.049022,1.000130,0.982745,,,0.996129,0.990444,0.986961,0.976261,,0.984115,1.048594,0.954613
Tm20,,,,,,,,,,0.989099,1.001086,0.982429,1.023919,0.972910,,,,,,,,,,0.971823,0.997503,1.000742,1.009629,,,1.006587,,1.007617,,
Tm21,,,,,,,,,0.957504,,,,0.951840,1.005892,,,,,,,,,,1.010080,,,0.978782,,,,,,,
Tm3,,,,0.965220,1.029821,,,,1.003960,1.028159,0.953004,,0.990858,0.960385,1.043943,1.001978,1.047769,0.952822,0.975929,,0.990190,,0.981634,,,,,0.973116,0.951980,,1.044941,1.010170,1.043389,0.968352
Tm4,,,,,1.031808,,,,1.017825,0.987277,,1.008953,0.997388,1.048523,1.024236,,,,,0.977749,0.973290,0.966970,0.963089,0.962850,1.033574,,1.047365,1.029045,1.048226,,0.974150,1.022104,,0.986908
Tm9,,,,,,0.955150,,,,0.973497,1.025492,,1.049584,0.985098,,,,,,1.035451,0.970951,0.984069,1.011175,0.991515,1.041024,0.951233,0.974764,,1.036534,0.968812,,,,
C2,0.992928,0.982087,1.022777,0.986978,1.038011,0.970408,1.044052,1.022455,0.994489,1.029595,,1.023739,1.024045,1.047555,1.025485,,,,,,,,,0.983591,,,,,,1.011124,0.983627,1.025541,,
C3,1.038324,,,1.020394,1.045592,0.972157,1.038204,1.021188,1.022565,0.991148,1.017404,0.972510,1.009984,0.991874,1.007142,1.018660,1.012563,0.968052,0.994544,,,,,0.955988,1.024421,0.989502,0.994699,1.026173,1.036417,1.005928,1.030753,,,
Lawf1,0.964324,,,1.036820,1.027926,1.036942,,1.010714,,,1.044546,1.010540,,,,,,,,,,,,,,,,1.016345,,,,,0.954104,
Lawf2,1.000448,,,0.958847,0.995868,0.967196,,0.978409,,,,0.984724,,,,,,,,,,,,1.025395,0.997524,,,,,1.028396,0.963624,1.024085,0.998651,
