idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.027964,1.017468,51.062698,203.022263,-0.035273,1.000000
1,R7,1.000000,0.961307,0.988956,48.143387,193.895859,0.436964,1.000000
2,R8,1.000000,1.013368,0.985763,52.047474,196.371490,-0.259197,1.000000
3,L1,1.000000,0.954886,0.951725,50.308910,194.191605,-0.125598,0.984380
4,L2,1.000000,0.977146,1.043619,47.976639,204.900421,-0.248912,0.954780
5,L3,1.000000,1.040346,0.983396,47.767006,199.725937,-0.205736,1.000000
6,L4,1.000000,1.041448,0.955110,47.815166,208.570770,0.080163,1.006109
7,L5,1.000000,0.978327,1.010291,50.905510,207.539246,-0.396404,1.009922
8,Mi1,1.000000,0.967162,0.953385,49.469536,200.014038,-0.378682,1.000000
9,Mi4,1.000000,0.993898,1.026875,48.024975,197.313141,-0.314026,1.000000
10,Mi9,1.000000,0.966456,0.978515,48.622238,196.427368,-0.258710,1.000000
11,T1,1.000000,0.983805,1.040850,48.962849,195.107224,-0.465092,1.000000
12,T2,1.000000,1.020208,0.988497,51.291458,195.048569,-0.187802,1.000000
13,T2a,1.000000,0.973589,1.045766,48.169785,202.811646,0.361750,1.000000
14,T3,1.000000,0.981470,0.956355,52.117382,196.536453,-0.298332,1.000000
15,T4a,1.000000,0.999850,1.019591,47.573524,199.108887,-0.119102,1.000000
16,T4b,1.000000,0.966922,1.042366,48.783169,195.971878,0.283339,1.000000
17,T4c,1.000000,0.981586,0.951768,51.113350,201.416458,-0.196512,1.000000
18,T4d,1.000000,1.048883,1.021857,47.862751,196.566772,-0.475510,1.000000
19,T5a,1.000000,0.987183,1.039652,50.262085,193.186386,-0.379006,1.000000
20,T5b,1.000000,1.005811,0.995107,48.498150,193.340897,0.196297,1.000000
21,T5c,1.000000,1.028370,0.992028,47.639168,195.516083,0.346990,1.000000
22,T5d,1.000000,1.033666,0.973785,49.039265,202.828018,-0.347201,1.000000
23,Tm1,1.000000,1.005679,1.002643,51.808731,193.181549,-0.028396,1.000000
24,Tm2,1.000000,1.026824,0.950999,47.729034,199.389160,-0.175847,1.000000
25,Tm20,1.000000,1.025997,0.990659,47.753273,204.674393,-0.421044,1.000000
26,Tm21,1.000000,1.009542,0.991325,50.504375,198.926788,-0.018477,1.000000
27,Tm3,1.000000,1.037072,1.003048,48.390930,201.452774,-0.029217,1.000000
28,Tm4,1.000000,0.978841,1.026336,52.440342,200.413605,-0.354655,1.000000
29,Tm9,1.000000,0.976866,1.031811,50.247311,198.415726,-0.229682,1.000000
30,C2,1.000000,0.965758,0.952704,51.330685,190.766571,-0.490239,1.000000
31,C3,1.000000,0.982005,0.970824,48.750042,197.400497,-0.271982,1.000000
32,Lawf1,1.000000,0.956329,0.983514,51.746311,193.718964,-0.466923,1.000000
33,Lawf2,1.000000,1.009408,1.025447,47.583393,197.574356,0.331677,1.000000
