idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.975287,23.039948,10000.000000,0.102203,1.000000
1,R7,1.000000,5.000000,1.012156,20.261357,10000.000000,-0.032976,1.000000
2,R8,1.000000,5.000000,0.960331,17.472905,10000.000000,3.567172,1.000000
3,L1,1.000000,5.000000,1.032007,39.617217,210.445364,0.796075,5.000000
4,L2,1.000000,5.000000,0.967518,45.493531,185.345880,1.505091,5.000000
5,L3,1.000000,0.768493,5.000000,21.244880,10000.000000,-1.872724,1.000000
6,L4,1.000000,0.500000,0.992734,49.122170,208.211713,-2.376889,0.500000
7,L5,1.000000,4.124914,0.951102,76.752485,213.751711,-3.747728,1.629602
8,Mi1,1.000000,0.958684,0.950311,52.366651,9999.999999,-0.805410,1.000000
9,Mi4,1.000000,0.997064,0.951075,41.185364,9995.340487,-0.492999,1.000000
10,Mi9,1.000000,5.000000,0.979209,24.271066,9981.072855,7.032235,1.000000
11,T1,1.000000,2.208215,0.989866,24.741773,9953.067291,0.045076,1.000000
12,T2,1.000000,0.873766,1.003479,48.173276,9996.819277,-1.380092,1.000000
13,T2a,1.000000,1.695325,0.970058,47.897220,9995.884965,-2.462707,1.000000
14,T3,1.000000,0.885083,1.014122,48.537598,9993.108951,-1.421139,1.000000
15,T4a,1.000000,0.500000,1.003300,50.100608,10000.000000,-0.495230,1.000000
16,T4b,1.000000,1.028455,1.035770,49.536942,9997.479285,-0.272945,1.000000
17,T4c,1.000000,0.954126,1.031163,52.201160,9991.657810,-0.276995,1.000000
18,T4d,1.000000,0.977700,0.968612,50.384780,9993.830951,0.177230,1.000000
19,T5a,1.000000,1.035317,0.971914,51.046947,9995.511606,0.165383,1.000000
20,T5b,1.000000,0.950139,1.041593,51.249893,9997.620193,-0.398909,1.000000
21,T5c,1.000000,1.014674,1.015821,48.067940,9995.483750,0.251540,1.000000
22,T5d,1.000000,0.994577,0.990182,52.176568,10000.000000,-0.343843,1.000000
23,Tm1,1.000000,4.071908,0.962178,26.360113,9959.734214,3.785067,1.000000
24,Tm2,1.000000,0.500000,1.011650,55.862465,9999.959589,-4.738479,1.000000
25,Tm20,1.000000,5.000000,1.002388,25.585125,10000.000000,7.047786,1.000000
26,Tm21,1.000000,0.500000,1.037258,50.226626,9995.764438,-0.736726,1.000000
27,Tm3,1.000000,0.508576,0.950161,48.093753,9993.458155,-0.341820,1.000000
28,Tm4,1.000000,0.500000,1.010352,47.793052,9999.999483,-2.642487,1.000000
29,Tm9,1.000000,0.843423,1.030174,51.355402,9995.624928,-1.171331,1.000000
30,C2,1.000000,0.565155,1.027545,47.810453,9996.912121,-0.890977,1.000000
31,C3,1.000000,0.500000,0.990735,53.632268,9999.998824,-0.942116,1.000000
32,Lawf1,1.000000,0.500000,0.986153,51.457961,9999.998330,-0.409307,1.000000
33,Lawf2,1.000000,5.000000,0.985672,55.486063,10000.000000,-1.565764,1.000000
