time_ms,vm_PC,vm_NC
-355.0,0.0,0.0
-354.0,0.0,0.0
-353.0,0.0,0.0
-352.0,0.0,0.0
-351.0,0.0,0.0
-350.0,0.0,0.0
-349.0,0.0,0.0
-348.0,0.0,0.0
-347.0,0.0,0.0
-346.0,0.0,0.0
-345.0,0.0,0.0
-344.0,0.0,0.0
-343.0,0.0,0.0
-342.0,0.0,0.0
-341.0,0.0,0.0
-340.0,0.0,0.0
-339.0,0.0,0.0
-338.0,0.0,0.0
-337.0,0.0,0.0
-336.0,0.0,0.0
-335.0,0.0,0.0
-334.0,0.0,0.0
-333.0,0.0,0.0
-332.0,0.0,0.0
-331.0,0.0,0.0
-330.0,0.0,0.0
-329.0,0.0,0.0
-328.0,0.0,0.0
-327.0,0.0,0.0
-326.0,0.0,0.0
-325.0,0.0,0.0
-324.0,0.0,0.0
-323.0,0.0,0.0
-322.0,0.0,0.0
-321.0,0.0,0.0
-320.0,0.0,0.0
-319.0,0.0,0.0
-318.0,0.0,0.0
-317.0,0.0,0.0
-316.0,0.0,0.0
-315.0,0.0,0.0
-314.0,0.0,0.0
-313.0,0.0,0.0
-312.0,0.0,0.0
-311.0,0.0,0.0
-310.0,0.0,0.0
-309.0,0.0,0.0
-308.0,0.0,0.0
-307.0,0.0,0.0
-306.0,0.0,0.0
-305.0,0.0,0.0
-304.0,0.0,0.0
-303.0,0.0,0.0
-302.0,0.0,0.0
-301.0,0.0,0.0
-300.0,0.0,0.0
-299.0,0.0,0.0
-298.0,0.0,0.0
-297.0,0.0,0.0
-296.0,0.0,0.0
-295.0,0.0,0.0
-294.0,0.0,0.0
-293.0,0.0,0.0
-292.0,0.0,0.0
-291.0,0.0,0.0
-290.0,0.0,0.0
-289.0,0.0,0.0
-288.0,0.0,0.0
-287.0,0.0,0.0
-286.0,0.0,0.0
-285.0,0.0,0.0
-284.0,0.0,0.0
-283.0,0.0,0.0
-282.0,0.0,0.0
-281.0,0.0,0.0
-280.0,0.0,0.0
-279.0,0.0,0.0
-278.0,0.0,0.0
-277.0,0.0,0.0
-276.0,0.0,0.0
-275.0,0.0,0.0
-274.0,0.0,0.0
-273.0,0.0,0.0
-272.0,0.0,0.0
-271.0,0.0,0.0
-270.0,0.0,0.0
-269.0,0.0,0.0
-268.0,0.0,0.0
-267.0,0.0,0.0
-266.0,0.0,0.0
-265.0,0.0,0.0
-264.0,0.0,0.0
-263.0,0.0,0.0
-262.0,0.0,0.0
-261.0,0.0,0.0
-260.0,0.0,0.0
-259.0,0.0,0.0
-258.0,0.0,0.0
-257.0,0.0,0.0
-256.0,0.0,0.0
-255.0,0.0,0.0
-254.0,0.0,0.0
-253.0,0.0,0.0
-252.0,0.0,0.0
-251.0,0.0,0.0
-250.0,0.0,0.0
-249.0,0.0,0.0
-248.0,0.0,0.0
-247.0,0.0,0.0
-246.0,0.0,0.0
-245.0,0.0,0.0
-244.0,0.0,0.0
-243.0,0.0,0.0
-242.0,0.0,0.0
-241.0,0.0,0.0
-240.0,0.0,0.0
-239.0,0.0,0.0
-238.0,0.0,0.0
-237.0,0.0,0.0
-236.0,0.0,0.0
-235.0,0.0,0.0
-234.0,0.0,0.0
-233.0,0.0,0.0
-232.0,0.0,0.0
-231.0,0.0,0.0
-230.0,0.0,0.0
-229.0,0.0,0.0
-228.0,0.0,0.0
-227.0,0.0,0.0
-226.0,0.0,0.0
-225.0,0.0,0.0
-224.0,0.0,0.0
-223.0,0.0,0.0
-222.0,0.0,0.0
-221.0,0.0,0.0
-220.0,0.0,0.0
-219.0,0.016570552889992096,0.0
-218.0,0.03314110505949137,0.0
-217.0,0.04971165794948347,0.0
-216.0,0.06628221083947555,0.0
-215.0,0.08285276372946765,0.0
-214.0,0.05646786870240149,-0.002224415874294606
-213.0,0.030082974274724967,-0.004448831759410302
-212.0,0.003698079247658815,-0.006673247633704918
-211.0,-0.022686816161818713,-0.00889766361828161
-210.0,-0.049071710479213146,-0.011122080213069038
-209.0,-0.06799654079035569,-0.012626899433812436
-208.0,-0.08692136965411942,-0.014131719856921113
-207.0,-0.10584619998703293,-0.015636540180568734
-206.0,-0.12477102914014021,-0.017141360877338307
-205.0,-0.14369585873078997,-0.018646181638528332
-204.0,-0.1340471100839599,-0.01993314094936579
-203.0,-0.12439836140927056,-0.021220102200275603
-202.0,-0.11474961286663425,-0.022507061978447946
-201.0,-0.10510086360350512,-0.023794022229948985
-200.0,-0.09545211492881582,-0.025080983081233056
-199.0,-0.09779266412530124,-0.029067095516581674
-198.0,-0.10013321473018033,-0.03305320794667531
-197.0,-0.10247376430452046,-0.03703932151150153
-196.0,-0.10481431418890674,-0.0410254343558349
-195.0,-0.10715486408411397,-0.0450115472001683
-194.0,-0.1267112787049671,-0.037253502592185864
-193.0,-0.14626769301577427,-0.029495458079677423
-192.0,-0.16582410763662742,-0.02173741390245079
-191.0,-0.1853805215478088,-0.013979368680270601
-190.0,-0.20493693616866193,-0.006221324094059149
-189.0,-0.25193345022048563,-0.0037112330425073396
