time_ms,vm_PC,vm_NC
-355.0,0.0,0.0
-354.0,0.0,0.0
-353.0,0.0,0.0
-352.0,0.0,0.0
-351.0,0.0,0.0
-350.0,0.0,0.0
-349.0,0.0,0.0
-348.0,0.0,0.0
-347.0,0.0,0.0
-346.0,0.0,0.0
-345.0,0.0,0.0
-344.0,0.0,0.0
-343.0,0.0,0.0
-342.0,0.0,0.0
-341.0,0.0,0.0
-340.0,0.0,0.0
-339.0,0.0,0.0
-338.0,0.0,0.0
-337.0,0.0,0.0
-336.0,0.0,0.0
-335.0,0.0,0.0
-334.0,0.0,0.0
-333.0,0.0,0.0
-332.0,0.0,0.0
-331.0,0.0,0.0
-330.0,0.0,0.0
-329.0,0.0,0.0
-328.0,0.0,0.0
-327.0,0.0,0.0
-326.0,0.0,0.0
-325.0,0.0,0.0
-324.0,0.0,0.0
-323.0,0.0,0.0
-322.0,0.0,0.0
-321.0,0.0,0.0
-320.0,0.0,0.0
-319.0,0.0,0.0
-318.0,0.0,0.0
-317.0,0.0,0.0
-316.0,0.0,0.0
-315.0,0.0,0.0
-314.0,0.0,0.0
-313.0,0.0,0.0
-312.0,0.0,0.0
-311.0,0.0,0.0
-310.0,0.0,0.0
-309.0,0.0,0.0
-308.0,0.0,0.0
-307.0,0.0,0.0
-306.0,0.0,0.0
-305.0,0.0,0.0
-304.0,0.0,0.0
-303.0,0.0,0.0
-302.0,0.0,0.0
-301.0,0.0,0.0
-300.0,0.0,0.0
-299.0,0.0,0.0
-298.0,0.0,0.0
-297.0,0.0,0.0
-296.0,0.0,0.0
-295.0,0.0,0.0
-294.0,0.0,0.0
-293.0,0.0,0.0
-292.0,0.0,0.0
-291.0,0.0,0.0
-290.0,0.0,0.0
-289.0,0.0,0.0
-288.0,0.0,0.0
-287.0,0.0,0.0
-286.0,0.0,0.0
-285.0,0.0,0.0
-284.0,0.0,0.0
-283.0,0.0,0.0
-282.0,0.0,0.0
-281.0,0.0,0.0
-280.0,0.0,0.0
-279.0,0.0,0.0
-278.0,0.0,0.0
-277.0,0.0,0.0
-276.0,0.0,0.0
-275.0,0.0,0.0
-274.0,0.0,0.0
-273.0,0.0,0.0
-272.0,0.0,0.0
-271.0,0.0,0.0
-270.0,0.0,0.0
-269.0,0.0,0.0
-268.0,0.0,0.0
-267.0,0.0,0.0
-266.0,0.0,0.0
-265.0,0.0,0.0
-264.0,0.0,0.0
-263.0,0.0,0.0
-262.0,0.0,0.0
-261.0,0.0,0.0
-260.0,0.0,0.0
-259.0,0.0,0.0
-258.0,0.0,0.0
-257.0,0.0,0.0
-256.0,0.0,0.0
-255.0,0.0,0.0
-254.0,0.0,0.0
-253.0,0.0,0.0
-252.0,0.0,0.0
-251.0,0.0,0.0
-250.0,0.0,0.0
-249.0,0.0,0.0
-248.0,0.0,0.0
-247.0,0.0,0.0
-246.0,0.0,0.0
-245.0,0.0,0.0
-244.0,0.0,0.0
-243.0,0.0,0.0
-242.0,0.0,0.0
-241.0,0.0,0.0
-240.0,0.0,0.0
-239.0,0.0,0.0
-238.0,0.0,0.0
-237.0,0.0,0.0
-236.0,0.0,0.0
-235.0,0.0,0.0
-234.0,0.0,0.0
-233.0,0.0,0.0
-232.0,0.0,0.0
-231.0,0.0,0.0
-230.0,0.0,0.0
-229.0,0.0,0.0
-228.0,0.0,0.0
-227.0,0.0,0.0
-226.0,0.0,0.0
-225.0,0.0,0.0
-224.0,0.0,0.0
-223.0,0.0,0.0
-222.0,0.0,0.0
-221.0,0.0,0.0
-220.0,0.0,0.0
-219.0,-0.014138051444759138,0.0
-218.0,-0.02827610227479141,0.0
-217.0,-0.04241415371955055,0.0
-216.0,-0.0565522051643097,0.0
-215.0,-0.07069025660906884,0.0
-214.0,-0.04434040111046954,0.0035470827972532088
-213.0,-0.017990545771015103,0.007094165593873542
-212.0,0.008359309727584228,0.010641248391126745
-211.0,0.0347091654322545,0.014188331644594822
-210.0,0.06105902031549402,0.017735415056574923
-209.0,0.06693037686725184,0.018969909543894672
-208.0,0.07280173141287613,0.020204405308860064
-207.0,0.07867308799905096,0.02143890061697769
-206.0,0.08454444307057815,0.022673396992919197
-205.0,0.0904157990076091,0.023907893166540448
-204.0,0.0629466639523498,0.024402403115704713
-203.0,0.035477528743183474,0.0248969157332883
-202.0,0.008008394024648958,0.025391426055576666
-201.0,-0.019460741308612417,0.02588593832376545
-200.0,-0.046929876517778704,0.026380449959231184
-199.0,-0.04429406373701551,0.03259513793966015
-198.0,-0.04165824976058294,0.03880982679639741
-197.0,-0.03902243603211891,0.045024516237828244
-196.0,-0.0363866226704129,0.05123920506453226
-195.0,-0.03375080930933991,0.057453893891236146
-194.0,-0.015201358824929859,0.03988509675924526
-193.0,0.0033480920262383557,0.022316300625453884
-192.0,0.021897542510648356,0.004747504374154817
-191.0,0.04044699237969885,-0.012821292374996303
-190.0,0.058996442864109044,-0.03039008947257026
-189.0,0.1433850323395796,-0.03941445412004331
-188.0,0.2277736213932525,-0.048438819170246554
-187.0,0.31216221022332996,-0.057463183976864576
