idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_midv,Ih_slope,tau_midv
0,C2,0.568100,0.513848,1.089946,50.172182,-47.936395,-0.255112,-50.519978
1,C3,0.453955,0.456691,0.900308,54.450801,-50.489130,-0.244652,-48.252670
2,L1,0.488951,0.594820,0.917069,46.672389,-51.233115,-0.244150,-47.914744
3,L2,0.472724,0.415389,0.923447,53.030924,-49.893633,-0.258679,-47.593879
4,L3,0.413890,0.401204,1.023877,51.945504,-48.906957,-0.256894,-49.034059
5,L4,0.549813,0.466599,1.072978,51.162851,-50.532040,-0.250499,-47.523940
6,L5,0.453955,0.456691,1.047960,54.450801,-50.489130,-0.244652,-48.252670
7,Mi1,0.463177,0.488344,1.089888,54.959638,-50.588422,-0.259989,-52.176483
8,Mi4,0.463177,0.488344,1.032734,54.959638,-50.588422,-0.259989,-52.176483
9,Mi9,0.586316,0.417763,0.995297,49.654241,-49.340553,-0.247362,-47.607907
10,R1-6,0.460072,0.565359,1.015824,54.884624,-49.985357,-0.249440,-51.856290
11,R7,0.413406,0.401129,0.941679,52.509736,-52.363909,-0.258629,-50.465437
12,R8,0.405551,0.424457,0.985679,49.776535,-50.072254,-0.259979,-51.918700
13,T1,0.577205,0.433850,1.046072,54.937571,-51.862564,-0.240971,-51.463459
14,T2,0.410222,0.508698,1.017619,46.186552,-50.766102,-0.245948,-48.289758
15,T2a,0.417780,0.556346,1.030533,47.806999,-51.398112,-0.257573,-47.719318
16,T3,0.417780,0.556346,1.079456,47.806999,-51.398112,-0.257573,-47.719318
17,T4a,0.429783,0.586865,1.006462,54.339696,-48.887589,-0.247877,-49.601983
18,T4b,0.521335,0.446900,1.006209,46.850755,-48.002471,-0.240560,-48.003186
19,T4c,0.406434,0.586162,1.049516,50.270144,-48.168845,-0.247884,-48.803516
20,T4d,0.498241,0.428688,1.060369,0.000000,-47.975105,-0.240860,-47.650939
21,T5a,0.413406,0.401129,1.079967,52.509736,-52.363909,-0.258629,-50.465437
22,T5b,0.415008,0.573030,0.914929,53.670223,-48.607367,-0.250593,-49.198996
23,T5c,0.460072,0.565359,0.956986,54.884624,-49.985357,-0.249440,-51.856290
24,T5d,0.413406,0.401129,0.917720,52.509736,-52.363909,-0.258629,-50.465437
25,Tm1,0.505803,0.455618,0.982190,47.219780,-51.906878,-0.247790,-48.989130
26,Tm2,0.488951,0.594820,1.046768,46.672389,-51.233115,-0.244150,-47.914744
27,Tm20,0.410222,0.508698,0.944507,46.186552,-50.766102,-0.245948,-48.289758
28,Tm21,0.599305,0.548509,1.018940,0.000000,-49.730436,-0.246771,-48.928470
29,Tm3,0.563811,0.456362,1.078771,46.818500,-48.595221,-0.243119,-51.338496
30,Tm4,0.410222,0.508698,0.921209,46.186552,-50.766102,-0.245948,-48.289758
31,Tm9,0.413890,0.401204,1.054855,51.945504,-48.906957,-0.256894,-49.034059
