idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,0.900896,0.964677,53.658951,200.000031,-0.044596,1.039254
1,R7,1.000000,1.043069,1.038925,50.011036,199.999985,-0.023630,0.955112
2,R8,1.000000,1.099539,1.044922,51.894085,199.999985,0.031365,1.033723
3,L1,1.000000,1.061983,0.994090,50.446220,200.000000,0.036536,0.969117
4,L2,1.000000,1.033249,1.022251,51.175709,199.999969,0.045782,1.007307
5,L3,1.000000,1.008110,0.994747,50.429146,200.000015,-0.021326,1.033025
6,L4,1.000000,1.081244,1.044745,45.030876,199.999969,-0.009281,0.991600
7,L5,1.000000,0.919191,0.957977,49.041595,200.000000,0.013116,0.953333
8,Mi1,1.000000,0.977726,0.975642,50.867168,199.999969,0.042914,1.013014
9,Mi4,1.000000,0.946141,0.979247,45.415775,199.999954,-0.021068,1.026167
10,Mi9,1.000000,0.961271,1.023460,52.462986,200.000000,-0.038887,1.033175
11,T1,1.000000,1.015211,1.028067,45.499847,200.000031,0.002009,1.012812
12,T2,1.000000,0.930943,1.040162,47.117149,200.000031,0.000553,1.028206
13,T2a,1.000000,1.083649,0.974202,49.692017,200.000000,0.000996,0.997178
14,T3,1.000000,1.050071,1.029044,54.076710,200.000000,0.003041,1.035832
15,T4a,1.000000,1.013422,0.986338,45.228722,200.000015,-0.039337,1.007270
16,T4b,1.000000,0.900165,1.008616,51.954357,200.000015,0.007899,0.982614
17,T4c,1.000000,1.023673,1.007435,51.534302,200.000031,-0.006981,0.972960
18,T4d,1.000000,0.975458,0.968419,53.238239,199.999954,-0.025562,1.046760
19,T5a,1.000000,1.066200,0.976366,45.977104,199.999954,0.006083,0.967139
20,T5b,1.000000,1.038038,1.002570,48.624172,200.000000,-0.001021,1.013342
21,T5c,1.000000,1.044711,0.961611,48.992966,200.000031,0.017934,0.956641
22,T5d,1.000000,0.937886,0.985971,45.280113,200.000046,0.030680,0.983749
23,Tm1,1.000000,1.016996,0.999090,45.701061,199.999969,-0.020731,0.956380
24,Tm2,1.000000,1.073708,0.953659,45.209049,199.999969,0.028242,0.958459
25,Tm20,1.000000,1.060195,0.988003,46.787148,200.000046,0.047658,1.000727
26,Tm21,1.000000,0.990766,0.984755,47.900764,200.000046,-0.003678,1.005434
27,Tm3,1.000000,0.944821,1.004055,52.811485,200.000000,-0.035180,1.047055
28,Tm4,1.000000,1.093201,0.964108,45.508621,199.999954,-0.008775,0.994457
29,Tm9,1.000000,0.963145,0.979527,52.465603,200.000031,-0.008458,0.982169
30,C2,1.000000,0.940902,0.998159,52.797310,200.000015,-0.037332,1.030892
31,C3,1.000000,0.956328,0.951869,47.762100,199.999985,0.029041,1.022680
