,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.952677,,,1.045512,0.996688,1.010004,1.008376,,,,,0.992382,,,,,,,,,,,,,,,,,,,1.045359,0.991894
R7,,,1.039646,1.011377,,1.016640,,,0.970128,0.954985,0.981735,,,,,,,,,,,,,,,0.972826,,,,,,0.996352
R8,,1.048679,1.041717,0.985833,0.971431,0.968957,,1.027411,0.969514,0.989698,1.015692,0.970339,,,,,,,,,,,,,,1.027826,0.984349,,,,0.958396,1.023105
L1,0.990508,0.967307,1.048783,0.953459,1.024220,1.022706,0.961938,1.015924,1.021266,0.978409,,1.008353,1.012301,0.992578,,,,,,,,,,0.974101,1.021897,,,0.977777,,,1.041696,1.045044
L2,0.984844,,0.975802,1.005252,0.979046,0.999046,0.963439,0.968068,1.026940,0.953708,1.000914,0.991021,0.999431,0.953665,,,,,,,,,,1.019967,1.036077,0.957005,,0.962389,1.048951,,0.981899,0.961214
L3,,1.041561,1.028159,0.998727,0.996022,,,,0.991190,1.007437,1.006662,0.997644,,,,,,,,,,,,1.042376,0.972026,1.043658,1.009609,,1.001016,0.951280,1.033032,1.040828
L4,1.009319,,,0.986309,1.026906,0.984896,0.977336,1.042417,1.002590,,0.975289,,0.954041,,,,,,,,,,,1.043859,0.990773,,,,1.046639,1.010190,,0.953470
L5,,,,0.998093,0.966575,,,1.018982,1.006374,1.006712,1.046689,1.022835,1.020784,0.965988,,,,,,,,,,1.021002,0.981520,1.045587,0.985972,1.030581,0.964253,,0.973979,0.991542
Mi1,,0.966433,0.987563,1.012291,0.988858,,,0.964320,0.978602,0.967216,0.993151,0.977703,0.981922,1.006173,0.970597,1.037251,0.961379,1.024139,0.983252,,,,,0.959736,1.013618,0.957541,1.005367,1.010601,0.959629,,0.980951,1.019133
Mi4,,,,,0.971326,1.037051,,0.987875,1.003159,0.976425,0.953907,1.004176,,0.974860,,0.973145,1.022447,0.997390,1.021114,,,,,0.974431,0.968132,1.014550,,1.025240,0.968188,0.971958,1.027048,1.023259
Mi9,,,,,,0.988383,0.999056,,1.018841,1.033091,,,1.036875,1.016758,0.967840,1.010938,0.990688,1.020281,1.013316,,,,,0.988375,0.965356,0.984865,1.033497,1.024986,1.038395,1.021463,0.959747,
T1,0.960277,0.969350,0.955586,,0.953548,1.036222,,0.971787,,,1.041299,,,,,,,,,,,,,0.953197,0.979548,1.039503,,,1.004327,,,
T2,,,,,,,,1.017243,0.963802,,1.026932,,0.978110,0.998439,0.985985,,,,,,,,,0.952132,1.028901,,0.996137,0.982508,1.031842,,,
T2a,,,,,,,,,1.012087,,,,1.013711,1.033161,1.011805,,,,,,,,,1.047549,,1.014461,1.008649,0.990488,0.964141,,0.989998,
T3,,,,,,,,,,,,,0.983556,0.983723,1.044242,,,,1.046933,,,,,0.992563,,,0.990989,0.957648,,,,0.972629
T4a,,,,,,,,,,,1.045213,,,,,1.026904,0.992190,0.950913,1.019465,0.950159,,,,,,,,,,,,0.967856
T4b,,,,,,,,,1.005146,0.952112,1.030840,,,,,1.023037,1.004172,,1.010825,,0.983323,,,,,,,,,,,
T4c,,,,,,,,,,,0.968356,,1.012275,,,,,0.980740,,,,0.985938,0.990883,,,,,,,,,
T4d,,,,,,,,,1.025153,,,,,,,,,0.978641,1.016714,,,,1.021745,,,,,,,,,
T5a,,,,,,,,,,,,,0.983232,,,1.029156,,,,1.000619,0.983814,,,,1.030368,,,,,,,
T5b,,,,,,,,,,,,,0.972724,,,,0.967661,,,0.993434,0.973372,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.021256,,,,,0.956997,,,1.013976,1.011547,0.983528,,,,,,,,,
T5d,,,,,,,,,,,,,1.038692,,,,,1.008296,0.954481,,,,1.041902,,,,,,,,,
Tm1,,,,,1.043341,,,0.997388,0.954175,0.971377,0.990931,1.031495,1.034283,0.953538,0.985884,,,0.974459,,0.953703,0.993279,0.951213,0.961076,0.956009,1.032279,0.953416,1.008834,1.038240,0.979809,0.989636,0.953026,1.032575
Tm2,,,,1.001883,1.031379,,,0.994244,1.048641,1.007123,0.973794,0.985396,1.031049,1.014730,1.046331,1.003346,,0.993855,,0.966045,0.963168,1.035287,0.952293,0.997689,,,1.019409,1.024353,0.970537,0.989821,,0.969716
Tm20,,,,,,,,,,0.996547,1.039619,1.034799,1.037572,0.963190,,,,,,,,,,0.980756,0.954189,0.999470,0.974950,,,1.013873,,0.960059
Tm21,,,,,,,,,0.993722,,,,1.024349,0.968014,,,,,,,,,,1.012366,,,1.028719,,,,,
Tm3,,,,0.971380,1.038749,,,,1.002970,1.026214,1.025699,,0.962132,0.964156,1.039165,0.963695,1.046659,0.962708,1.022128,,0.961777,,1.029729,,,,,0.979381,0.979603,,0.988601,0.993842
Tm4,,,,,0.957663,,,,0.984207,1.015689,,0.981028,1.043046,1.020348,0.961022,,,,,1.018357,1.013018,1.047084,1.016437,1.021902,0.991921,,0.989785,0.965054,0.971254,,1.001140,0.984527
Tm9,,,,,,0.959960,,,,0.970982,1.044760,,1.029893,1.009951,,,,,,1.005256,1.001695,0.996401,1.032769,0.984640,0.979029,0.983813,1.003029,,0.974562,1.039334,,
C2,1.028423,1.045254,1.044653,1.028891,1.020039,1.018020,0.958660,1.018281,0.994737,0.962202,,1.004652,0.956203,1.020381,1.029437,,,,,,,,,0.982259,,,,,,0.992299,1.046878,0.986605
C3,0.998411,,,0.976063,0.952087,0.954351,1.020620,0.993437,0.951107,0.963461,0.985860,1.025390,1.020527,1.020002,1.014634,1.045075,0.953708,1.003640,1.049442,,,,,1.049953,0.973698,1.027959,1.013670,0.981538,1.007910,0.961225,1.028328,
