idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.000952,1.039693,49.478909,200.188019,0.436469,1.000000
1,R7,1.000000,1.013634,1.003792,51.742744,202.097061,0.314857,1.000000
2,R8,1.000000,1.037815,1.030462,50.194080,208.027878,0.470742,1.000000
3,L1,1.000000,0.996232,0.998905,47.972286,198.339890,-0.276839,0.960899
4,L2,1.000000,1.033196,0.972207,52.076416,206.732178,-0.153037,1.013954
5,L3,1.000000,0.995326,1.024145,47.640926,204.601334,0.168785,1.000000
6,L4,1.000000,0.956081,1.020513,50.089695,201.991135,0.154349,0.983683
7,L5,1.000000,1.035792,1.015247,50.729870,198.987473,-0.190743,1.031552
8,Mi1,1.000000,1.031289,0.960761,49.062901,200.748230,0.156069,1.000000
9,Mi4,1.000000,0.956101,1.025957,47.968552,198.836731,0.141171,1.000000
10,Mi9,1.000000,1.010771,1.031230,48.462650,192.550613,-0.147988,1.000000
11,T1,1.000000,0.997941,1.039718,50.724361,202.243195,0.388698,1.000000
12,T2,1.000000,1.026939,0.993682,51.419655,199.045456,0.136888,1.000000
13,T2a,1.000000,0.958344,1.024391,51.574951,196.346451,0.204122,1.000000
14,T3,1.000000,0.965281,0.994117,51.460209,202.017593,0.387276,1.000000
15,T4a,1.000000,0.994328,0.954936,49.465179,193.601379,0.038743,1.000000
16,T4b,1.000000,0.985360,1.017816,51.000244,191.285690,-0.119725,1.000000
17,T4c,1.000000,0.952062,1.012185,48.546345,192.656433,-0.467906,1.000000
18,T4d,1.000000,1.002525,0.961957,47.997040,201.125381,-0.385562,1.000000
19,T5a,1.000000,0.968030,1.020679,51.810318,203.312912,0.188968,1.000000
20,T5b,1.000000,0.983075,0.986241,50.004124,206.263733,-0.490999,1.000000
21,T5c,1.000000,0.981992,1.046963,52.283848,203.104294,0.136336,1.000000
22,T5d,1.000000,1.033483,1.024732,51.419941,203.479660,-0.316325,1.000000
23,Tm1,1.000000,0.967066,0.955529,49.431049,203.814514,0.368513,1.000000
24,Tm2,1.000000,0.990358,0.987245,51.588741,196.424179,-0.479779,1.000000
25,Tm20,1.000000,1.000885,1.034545,51.717472,195.542145,-0.360622,1.000000
26,Tm21,1.000000,0.996526,1.042374,52.275043,194.896179,-0.149820,1.000000
27,Tm3,1.000000,1.034746,0.953663,50.905445,199.372635,-0.494467,1.000000
28,Tm4,1.000000,0.989339,0.970196,47.777710,205.496521,-0.428180,1.000000
29,Tm9,1.000000,1.029815,0.995694,48.978565,193.358658,0.059686,1.000000
30,C2,1.000000,0.952263,1.033849,51.413078,206.805176,0.387007,1.000000
31,C3,1.000000,0.962812,1.049756,51.488556,208.438126,0.198312,1.000000
32,Lawf1,1.000000,0.962738,0.993910,48.989971,196.476822,-0.059690,1.000000
33,Lawf2,1.000000,1.041278,1.027156,48.450844,196.029968,0.027436,1.000000
