idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.645883,0.951008,34.142059,9985.875747,-1.461646,1.000000
1,R7,1.000000,4.684727,0.952284,10.000000,10000.000000,-8.214099,1.000000
2,R8,1.000000,6.052848,1.003113,10.000000,9938.061432,-7.578018,1.000000
3,L1,1.000000,9.147099,1.033206,25.907297,146.728013,3.509069,10.000000
4,L2,1.000000,0.100000,0.982933,50.620337,199.108417,-1.367707,0.100000
5,L3,1.000000,0.104883,2.159766,31.241648,10000.000000,-2.889254,1.000000
6,L4,1.000000,0.273423,1.004556,50.164519,194.794241,-0.427970,0.318817
7,L5,1.000000,5.937897,1.042596,62.374312,215.328661,-8.376887,1.104175
8,Mi1,1.000000,0.100000,1.030536,52.045302,9993.446844,-3.300505,1.000000
9,Mi4,1.000000,1.776919,1.013730,48.068210,9999.764855,0.631993,1.000000
10,Mi9,1.000000,4.880834,0.954357,56.348635,9995.985556,-9.733027,1.000000
11,T1,1.000000,0.108341,0.969547,51.017468,9990.528726,-2.244127,1.000000
12,T2,1.000000,3.518005,1.015103,50.648215,9996.390677,-0.811922,1.000000
13,T2a,1.000000,8.724794,1.011473,99.402473,9999.896447,-13.965903,1.000000
14,T3,1.000000,4.384289,0.955608,64.028725,10000.000000,-4.085203,1.000000
15,T4a,1.000000,0.414785,1.047022,50.248120,9999.986276,-2.480307,1.000000
16,T4b,1.000000,0.100000,1.029041,48.876360,9993.804871,-1.929214,1.000000
17,T4c,1.000000,0.100000,1.000334,50.294053,9997.200370,-2.714894,1.000000
18,T4d,1.000000,1.041634,1.012080,50.950693,9991.327428,-0.057631,1.000000
19,T5a,1.000000,9.791013,1.014781,63.374287,10000.000000,4.930926,1.000000
20,T5b,1.000000,3.148785,1.049356,46.995784,9997.597707,2.688569,1.000000
21,T5c,1.000000,1.038733,0.984408,51.582443,9998.795863,-0.066560,1.000000
22,T5d,1.000000,1.015456,0.990862,48.617071,10000.000000,-0.075136,1.000000
23,Tm1,1.000000,10.000000,1.035815,65.790287,10000.000000,2.101358,1.000000
24,Tm2,1.000000,10.000000,1.043288,65.725103,10000.000000,3.505373,1.000000
25,Tm20,1.000000,9.981773,1.029444,56.450067,10000.000000,7.058284,1.000000
26,Tm21,1.000000,7.105180,1.010294,47.404021,9998.043782,3.179266,1.000000
27,Tm3,1.000000,10.000000,1.044484,51.099071,10000.000000,-0.922594,1.000000
28,Tm4,1.000000,6.856661,1.031835,55.963993,10000.000000,0.433804,1.000000
29,Tm9,1.000000,10.000000,1.012982,91.193883,10000.000000,-1.734946,1.000000
30,C2,1.000000,1.382896,0.963571,53.895656,9999.560057,-10.151422,1.000000
31,C3,1.000000,8.952725,0.961566,50.474589,9997.322534,-6.377812,1.000000
32,Lawf1,1.000000,10.000000,1.016079,34.435090,10000.000000,-2.221999,1.000000
33,Lawf2,1.000000,4.111830,0.959832,49.336256,9998.193697,-4.416283,1.000000
